Id,Age,Gender,Favorite genre,action favorite movies,adventure favorite movies,comedy favorite movies,crime favorite movies,fantasy favorite movies,historical favorite movies,horror favorite movies,romance favorite movies,sci-fi favorite movies,thriller favorite movies,western favorite movies,animation favorite movies,drama favorite movies,documentary favorite movies,action avg rating,adventure avg rating,comedy avg rating,crime avg rating,fantasy avg rating,historical avg rating,horror avg rating,romance avg rating,sci-fi avg rating,thriller avg rating,western avg rating,animation avg rating,drama avg rating,documentary avg rating,action rating count,adventure rating count,comedy rating count,crime rating count,fantasy rating count,historical rating count,horror rating count,romance rating count,sci-fi rating count,thriller rating count,western rating count,animation rating count,drama rating count,documentary rating count
67fbf16598e37f6fd75d03e2,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6805367a7880425304c55534,18,female,romance,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,4.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,3,0,0,0,0,0,0
680537e07880425304c567af,17,female,romance,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,4.333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,3,1,0,0,0,0,0
6805429b7880425304c593f6,30,male,comedy,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,4.666666666666667,0.0,0.0,0.0,1.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,0,0,2,2,0,0,0,0,0,0
680493d351cb6b9a8bb9681d,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67fe8042ec6782ee7793ced8,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67fbf148c6b50d1374ba66b9,21,male,action,6,0,0,0,3,0,0,0,0,0,0,0,0,0,4.666666666666667,0.0,0.0,0.0,5.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,0,2,0,0,5,0,0,0,0,0,0
6803335652932a94b197dbff,18,female,romance,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1.6666666666666667,0.0,5.0,0.0,0.0,0.0,0.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,0,0,0,0,4,0,0,0,0,0,0
67ff750418e70202892a69c6,22,male,fantasy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.666666666666667,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3,0,0,0,2,0,0,0,0,0
68050c3542e843d358ff3b36,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
