User Id,Movie Id,Rating
6807176cb5b754c58b6f2365,67f6788d43e80aa15b5ea57e,3
68079c9c494d33237c319b73,67f6788d43e80aa15b5ea57e,2
6807f80f533638dc185a6804,67f6788d43e80aa15b5ea57e,5
67fbf148c6b50d1374ba66b9,67f6788d43e80aa15b5ea57e,2
6809149be6bab0fa7fd1af4f,67f6788d43e80aa15b5ea57e,5
68092e3ce6bab0fa7fd45cbc,67f6788d43e80aa15b5ea57e,1
6809329be6bab0fa7fd4ebf6,67f6788d43e80aa15b5ea57e,5
67fbf148c6b50d1374ba66b9,67f68129569a78139d11a995,5
6805b10af805cbaf4c134275,67f68129569a78139d11a995,4
68070902b5b754c58b6ee93c,67f68129569a78139d11a995,3
6807176cb5b754c58b6f2365,67f68129569a78139d11a995,3
680721c1b5b754c58b6f6b56,67f68129569a78139d11a995,5
680736cab5b754c58b6f96ac,67f68129569a78139d11a995,2
6807a51b494d33237c31cf90,67f68129569a78139d11a995,1
6807a7c4494d33237c320c41,67f68129569a78139d11a995,5
6807ac58494d33237c325d58,67f68129569a78139d11a995,2
6807b14c494d33237c32a90d,67f68129569a78139d11a995,5
6809149be6bab0fa7fd1af4f,67f68129569a78139d11a995,1
68092bfae6bab0fa7fd3ddfa,67f68129569a78139d11a995,5
67ff750418e70202892a69c6,67f682bf569a78139d11a9ff,5
68070902b5b754c58b6ee93c,67f682bf569a78139d11a9ff,4
6807176cb5b754c58b6f2365,67f682bf569a78139d11a9ff,4
680721c1b5b754c58b6f6b56,67f682bf569a78139d11a9ff,3
680736cab5b754c58b6f96ac,67f682bf569a78139d11a9ff,5
6807a7c4494d33237c320c41,67f682bf569a78139d11a9ff,1
6807ac58494d33237c325d58,67f682bf569a78139d11a9ff,1
6807f80f533638dc185a6804,67f682bf569a78139d11a9ff,1
6808812c4ddddaa8b39c7caa,67f682bf569a78139d11a9ff,4
68090dbfe6bab0fa7fd114f4,67f682bf569a78139d11a9ff,1
68092bfae6bab0fa7fd3ddfa,67f682bf569a78139d11a9ff,2
67fbf148c6b50d1374ba66b9,67f683c3569a78139d11aa53,4
6803335652932a94b197dbff,67f683c3569a78139d11aa53,2
68070902b5b754c58b6ee93c,67f683c3569a78139d11aa53,4
680721c1b5b754c58b6f6b56,67f683c3569a78139d11aa53,5
680736cab5b754c58b6f96ac,67f683c3569a78139d11aa53,1
6807a51b494d33237c31cf90,67f683c3569a78139d11aa53,1
6807a7c4494d33237c320c41,67f683c3569a78139d11aa53,5
6807ac58494d33237c325d58,67f683c3569a78139d11aa53,1
6807b14c494d33237c32a90d,67f683c3569a78139d11aa53,5
