Id,Age,Gender,Favorite genre,action favorite movies,adventure favorite movies,comedy favorite movies,crime favorite movies,fantasy favorite movies,historical favorite movies,horror favorite movies,romance favorite movies,sci-fi favorite movies,thriller favorite movies,western favorite movies,animation favorite movies,drama favorite movies,documentary favorite movies,action avg rating,adventure avg rating,comedy avg rating,crime avg rating,fantasy avg rating,historical avg rating,horror avg rating,romance avg rating,sci-fi avg rating,thriller avg rating,western avg rating,animation avg rating,drama avg rating,documentary avg rating,action rating count,adventure rating count,comedy rating count,crime rating count,fantasy rating count,historical rating count,horror rating count,romance rating count,sci-fi rating count,thriller rating count,western rating count,animation rating count,drama rating count,documentary rating count
6808812c4ddddaa8b39c7caa,,,fantasy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
68088d6888ccff6cbc09a896,12,male,sci-fi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68079c658ddbb1f5ce9836bd,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68088b1f338412b9b0ccc087,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680686095232fd3f6138227a,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680736cab5b754c58b6f96ac,,,fantasy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3333333333333333,1.0,1.6666666666666667,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6,3,3,0,4,0,2,0,2,0,0,0,0,0
67ff750418e70202892a69c6,22,male,fantasy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.666666666666667,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3,0,0,0,2,0,0,0,0,0
68088c232813f7fa5bcba678,17,male,adventure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6807176cb5b754c58b6f2365,,,comedy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.3333333333333335,5.0,0.0,4.0,0.0,1.0,3.6666666666666665,2.0,0.0,0.0,0.0,0.0,0.0,2,3,3,0,1,0,2,3,1,0,0,0,0,0
6808a327ac881cfcac567260,19,female,comedy,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,4.714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,7,0,0,0,0,0,0,0,0,0,0,0
6807f80f533638dc185a6804,19,female,romance,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,4.666666666666667,0.0,1.5,0.0,0.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6,0,4,0,0,4,0,0,0,0,0,0
6807ac58494d33237c325d58,31,male,adventure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,5.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,3,0,0,1,0,1,2,1,0,0,0,0,0
6807b14c494d33237c32a90d,20,male,action,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,1.3333333333333333,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6,3,0,0,0,0,1,2,1,0,0,0,0,0
68079c9c494d33237c319b73,20,male,adventure,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1,0,1,0,2,2,0,0,0,0,0,0
68088a83338412b9b0ccbaf2,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6803335652932a94b197dbff,18,female,romance,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1.6666666666666667,0.0,5.0,0.0,0.0,0.0,0.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,0,0,0,0,4,0,0,0,0,0,0
6805b10af805cbaf4c134275,24,male,action,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4.666666666666667,4.5,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,1,0,0,0,0,1,0,0,0,0,0,0
680881c84ddddaa8b39c7e9f,18,female,comedy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
68088805338412b9b0cc8aae,,,action,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,2,0,0,0,0,0,0,0,0,0,0,0
